2025-06-30 10:44:32 | INFO | VIOLATION_LOGGER_INITIALIZED
2025-06-30 10:44:37 | INFO | SIMULATION_SESSION_START | MODE:SPEED_VIOLATION
2025-06-30 10:44:47 | WARNING | SPEED_VIOLATION | LAT:-37.814669 LON:144.963779 | SPEED:25.1kmh LIMIT:25.0kmh | EXCESS:0.1kmh | SEVERITY:MEDIUM | ZONE:Flinders Street Station
2025-06-30 10:44:48 | WARNING | SPEED_VIOLATION | LAT:-37.814779 LON:144.963836 | SPEED:26.5kmh LIMIT:25.0kmh | EXCESS:1.5kmh | SEVERITY:MEDIUM | ZONE:Flinders Street Station
2025-06-30 10:44:49 | WARNING | SPEED_VIOLATION | LAT:-37.814889 LON:144.963898 | SPEED:28.0kmh LIMIT:25.0kmh | EXCESS:3.0kmh | SEVERITY:MEDIUM | ZONE:Flinders Street Station
2025-06-30 10:44:50 | WARNING | SPEED_VIOLATION | LAT:-37.814993 LON:144.963970 | SPEED:29.5kmh LIMIT:25.0kmh | EXCESS:4.5kmh | SEVERITY:MEDIUM | ZONE:Flinders Street Station
2025-06-30 10:44:51 | WARNING | SPEED_VIOLATION | LAT:-37.815118 LON:144.964036 | SPEED:31.2kmh LIMIT:25.0kmh | EXCESS:6.2kmh | SEVERITY:MEDIUM | ZONE:Flinders Street Station
2025-06-30 10:44:52 | WARNING | SPEED_VIOLATION | LAT:-37.815221 LON:144.964122 | SPEED:22.8kmh LIMIT:15.0kmh | EXCESS:7.8kmh | SEVERITY:MEDIUM | ZONE:School Zone - Collins Street
2025-06-30 10:44:53 | WARNING | SPEED_VIOLATION | LAT:-37.815307 LON:144.964185 | SPEED:24.2kmh LIMIT:15.0kmh | EXCESS:9.2kmh | SEVERITY:MEDIUM | ZONE:School Zone - Collins Street
2025-06-30 10:44:54 | WARNING | SPEED_VIOLATION | LAT:-37.815412 LON:144.964249 | SPEED:25.8kmh LIMIT:15.0kmh | EXCESS:10.8kmh | SEVERITY:HIGH | ZONE:School Zone - Collins Street
2025-06-30 10:44:55 | WARNING | SPEED_VIOLATION | LAT:-37.815495 LON:144.964312 | SPEED:27.2kmh LIMIT:15.0kmh | EXCESS:12.2kmh | SEVERITY:HIGH | ZONE:School Zone - Collins Street
2025-06-30 10:44:56 | WARNING | SPEED_VIOLATION | LAT:-37.815590 LON:144.964376 | SPEED:28.8kmh LIMIT:15.0kmh | EXCESS:13.8kmh | SEVERITY:HIGH | ZONE:School Zone - Collins Street
2025-06-30 10:44:57 | WARNING | SPEED_VIOLATION | LAT:-37.815682 LON:144.964438 | SPEED:30.3kmh LIMIT:15.0kmh | EXCESS:15.3kmh | SEVERITY:CRITICAL | ZONE:School Zone - Collins Street
